animeTitle	Kaze no Naka no Shoujo: Kinpatsu no Jeanie
animeType	TV
animeNumEpisode	52
releaseDate	1992-10-15 00:00:00
endDate	1993-09-30 00:00:00
animeNumMembers	
animeScore	7.0
animeUsers	867
animeRank	
animePopularity	8279
animeDescription	"The story begins in a small town, Pennsylvania in 1838. Jeanie MacDowell is a cheerful and beautiful girl with light brown hair. Jeanie enjoys playing the piano and loves taking piano lessons from her mother.

Steven, a good harmonica player, and Bill, a black boy who is very good at playing the banjo, are great friends of Jeanie's. They enjoy playing music together like a small band.

However, Jeanie's happy life changes dramatically after her mother suddenly passes away.

Experiencing many difficulties and learning the importance of life, she decides to devote her life to helping many people suffering from illness.

This series is a highly emotional love story about the relationship between young Stephen Foster, who later becomes a famous composer and author of children's songs, and young Jeanie MacDowell, who becomes Stephen Foster's wife."
animeRelated	['Kinpatsu no Jeanie']
animeCharacters	['Bill', 'MacDowell, Jeanie', 'Steven', 'Henry', 'Angela', 'Freddie', 'Big Joe', 'Betty', 'Mora', 'Mami']
animeVoices	['Kikuchi, Masami', 'Horie, Mitsuko', 'Fujita, Toshiko', 'Nakamura, Hidetoshi', 'Kanda, Waka', 'Arimoto, Kinryuu', 'Ishimori, Takkou', 'Shiratori, Yuri', 'Nishihara, Kumiko']
animeStaff	[['Yasumura, Ryou', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Okuda, Seiji', 'Storyboard'], ['Hosoda, Masahiro', 'Storyboard']]
