animeTitle	Byoudoku no Denpa
animeType	Movie
animeNumEpisode	1
releaseDate	1926-01-01 00:00:00
endDate	
animeNumMembers	335
animeScore	5.28
animeUsers	174
animeRank	10934
animePopularity	14221
animeDescription	"Eating a fish of frying, making flies in food due to improper circumstances, doing washing in the river, etc, the terrible venom spreads unexpectedly. In order to prevent it, it is essential to disinfect with salad water. When going out, it is important to mask the fungus and prevent fungal invasion and disinfect futon etc in the sunlight. Since one person's carelessness will lead to the family and, in the end, the disease spread will spread out in Japan, urge the attention so that hygiene ideals will spread.

(Source: Japanese Animated Film Classics)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
