animeTitle	Souiu Megane
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.37
animeUsers	145
animeRank	
animePopularity	14297
animeDescription	"A material, an origin, a meaning, a value. When you have a question on glasses, let's answer ""Well, that's glasses"".
Rio de Janeiro International Short Film Festival Best Film of The Young Jury.

(Source: Official website)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
