animeTitle	Wan Jie Xian Zong
animeType	ONA
animeNumEpisode	40
releaseDate	2018-03-21 00:00:00
endDate	2018-07-28 00:00:00
animeNumMembers	
animeScore	7.36
animeUsers	1186
animeRank	
animePopularity	8436
animeDescription	"Ye Xingyu'’s master Yu Huanxian went and left a giant Tianyuan Shenzong. Ye Xingyun became the new leader of the Tianyuan Shenzong. At the same time, the civet cat exchanged Prince Edward’s method and became a child of a small family, hidden in it, waiting for revenge. Opportunity. Ye Xingyun embarked on a very dangerous road, but with his own strategy, and Tianyuan Shenzong masters of all the help of experts, vertical and horizontal tactics, strategizing, against the huge Grand Dynasty. 

(Sorce: Anilist)"
animeRelated	['Wan Jie Xian Zong 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
