animeTitle	Gundam vs Hello Kitty
animeType	ONA
animeNumEpisode	3
releaseDate	2019-03-29 00:00:00
endDate	2020-01-15 00:00:00
animeNumMembers	4443
animeScore	6.51
animeUsers	2047
animeRank	6098
animePopularity	7374
animeDescription	"While preparing for a tea party, Hello Kitty receives a distress signal from Haro. She travels to the Universal Century timeline to help Amuro Ray and the Gundam end the One Year War.

Cross-promotion to commemorate the 40th anniversary of Gundam and the 45th anniversary of Hello Kitty.

(Source: ANN)"
animeRelated	['Mobile Suit Gundam', 'Daisuki! Hello Kitty']
animeCharacters	['Ray, Amuro', 'White, Kitty']
animeVoices	[]
animeStaff	[['Fujino, Sadayoshi', 'Sound Director'], ['Kaneko, Yuuji', 'Art Director'], ['Kotobuki, Tsukasa', 'Animation Director'], ['Kawashita, Yuuki', 'Director of Photography']]
