animeTitle	UFO Senshi Dai Apolon
animeType	TV
animeNumEpisode	26
releaseDate	1976-04-06 00:00:00
endDate	1976-09-28 00:00:00
animeNumMembers	876
animeScore	5.95
animeUsers	231
animeRank	8853
animePopularity	11459
animeDescription	"The story is about 16 years old boy Takeshi who recently formed an American football team at the BlueSky orphanage. One day the game is interuppted by a light in the sky. Takeshi discovers he is the son of the king of the planet Apolon, spirited away to Earth by his father's retainer Rabi to avoid death at the hands of General Dazaan. He turns out to have special energy abilities which can control UFO saucers from under the ocean floor, which in turn can become robots that are synchronized to their movements.

(Source: Wikipedia)"
animeRelated	['UFO Senshi Dai Apolon 2']
animeCharacters	['Goro', 'Miki', 'Matsuo', 'Takeshi', 'Dazan Soutou', 'General Joket', 'Balai', 'Qeen Apolon', 'Enchou-sensei', 'Narrator']
animeVoices	['Yamashita, Keisuke', 'Komiya, Kazue', 'Chijimatsu, Sachiko', 'Murayama, Akira', 'Sugita, Toshiya', 'Sawada, Kazuko', 'Sawa, Ritsuo', 'Masuyama, Eiko', 'Shouji, Miyoko', 'Ichikawa, Osamu']
animeStaff	[['Ashida, Toyoo', 'Episode Director'], ['Takagaki, Kouzou', 'Episode Director'], ['Shimon, Masato', 'Theme Song Performance'], ['Yamamoto, Masayuki', 'Theme Song Lyrics, Theme Song Composition']]
