animeTitle	Laidbackers
animeType	Movie
animeNumEpisode	1
releaseDate	2019-04-05 00:00:00
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	868
animeRank	
animePopularity	7383
animeDescription	"In order to take over her grandmother's Dagashi store, art student Kumi Honamanuma moved to Kyoto. She met Harami Mino, K Kusanagi, Mai Haisaka, and a dog who lives in the store, which supposed to be empty. Kumi ended up living with these girls, who claim that they are heroes reincarnated to contemporary period to chase after the demon king. Harami and others seem to live in a peaceful life with no missions to to do anymore, Ran, who was demon king in the past and appears to be an elementary school girl from failing to reincarnate, one day. The story begins with Ran requesting to collect demon king's fragments. 

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Maisaka, Mai', 'Sanno, Harami ']
animeVoices	[]
animeStaff	[['Usa, Yoshiki', 'Producer'], ['Hashimoto, Hiroyuki', 'Director'], ['Yamaguchi, Takayuki', 'Sound Director'], ['Uezu, Makoto', 'Script']]
