animeTitle	b'Rescue Me!'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.83
animeUsers	13606
animeRank	
animePopularity	
animeDescription	b'The story centers on Mizutani Masayuki, an ordinary high school boy. His classmate Shimizu Sayaka lives in his home as a zealously intrusive maid, leading to uncomfortably erotic situations.\n\n(Source: ANN)'
animeRelated	[b'Rescue Me!']
animeCharacters	[b'Shimizu, Sayaka', b'Mizutani, Masayuki ', b'Ozono, Anna', b'Takagi, Mai ', b'Takamura, Yuka', b'Matsushita']
animeVoices	[b'\nNomura, Mayuka\nJapanese\n', b'\nOosaka, Ryouta\nJapanese\n', b'\nMiyake, Marie\nJapanese\n', b'\nMatsumoto, Fukumi\nJapanese\n', b'\nTakamori, Natsumi\nJapanese\n', b'\nOkitsu, Kazuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagai, Masaru\n\nProducer\n\n', b'\nKawaguchi, Keiichirou\n\nDirector, Storyboard\n\n', b'\nKawabata, Erkin\n\nDirector\n\n', b'\nSatou, Yuu\n\nScript\n\n']
