animeTitle	Glass no Kamen (2005)
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	8.07
animeUsers	10325
animeRank	
animePopularity	3094
animeDescription	"Two Girls. One Dream. And the entire world for a stage.

At 13 years old, Maya Kitajima seems destined to spend the rest of her life toiling in a crowded restaurant alongside her bitter and unstable mother. But when her incredible acting talent is discovered by the legendary diva Chigusa Tsukikage, Maya finds a new future filled with both golden opportunities and terrifying risks. 

For Ayumi Himekawa, success has always been assured, yet she longs to be recognized for her own talents and skills, not her famous parents' connections. 

For both, the ultimate prize is the role of The Crimson Goddess in the play of the same name, a part created by Chigusa. To achieve this goal, both Maya and Ayumi must seek out and conquer every acting challenge, pushing the limits of their talent and endurance to the utmost, until they are worthy of the part…

But for one to win, the other must fail! 

(Source: Sentai Filmworks)"
animeRelated	['Glass no Kamen', 'Glass no Kamen: Sen no Kamen wo Motsu Shoujo', 'Glass no Kamen Desu ga', '3-Nen D-Gumi Glass no Kamen', '3-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road']
animeCharacters	['Kitajima, Maya', 'Hayami, Masumi', 'Himekawa, Ayumi', 'Tsukikage, Chigusa', 'Sakurakouji, Yuu', 'Mizuki, Saeko', 'Onodera, Hajime', 'Himekawa, Utako', 'Kobayashi, Genzou', 'Himekawa, Mitsugu']
animeVoices	['Kobayashi, Sanae', 'Morikawa, Toshiyuki', 'Yajima, Akiko', 'Fujita, Toshiko', 'Fukuyama, Jun', 'Sakuma, Rei', 'Katsuki, Masako', 'Nakae, Shinji', 'Nakao, Ryusei']
animeStaff	[['Hamatsu, Mamoru', 'Director'], ['Miuchi, Suzue', 'Original Creator'], ['Terashima, Tamiya', 'Music'], ['Fukuda, Noriyuki', 'Key Animation']]
