animeTitle	Sayonara Freeway
animeType	Music
animeNumEpisode	1
releaseDate	2019-04-05 00:00:00
endDate	
animeNumMembers	
animeScore	5.62
animeUsers	332
animeRank	
animePopularity	12467
animeDescription	"Official music video for the song Sayonara Freeway by the fictional band Irodorimidori. It is the 39th song in the franchise and focuses on Nanase Hagiwara. Nanase is one of two new band members introduced late last year as a part of the ""2nd season"" in the franchise's lore."
animeRelated	['Fire Me Up', 'Ever Green Never End']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
