animeTitle	Kaigo to Ikiru
animeType	ONA
animeNumEpisode	1
releaseDate	2019-09-30 00:00:00
endDate	
animeNumMembers	217
animeScore	
animeUsers	
animeRank	16510
animePopularity	15765
animeDescription	"Japanese issuance company SOMPO Himawari Life Insurance commissioned Tekken to produce a commercial to promote their ""Insurhealth"" services, which seek to combine the functions of insurance and healthcare services. It follows a daughter caring for her aging mother that is facing various mental and physical complications after her husband passes away."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
