animeTitle	GS Mikami
animeType	TV
animeNumEpisode	45
releaseDate	1993-04-11 00:00:00
endDate	1994-03-06 00:00:00
animeNumMembers	
animeScore	7.2
animeUsers	3599
animeRank	
animePopularity	5095
animeDescription	"In a world plagued with malicious ghosts, how is it possible to combat the existence of such evil spirits? The answer is to hire a ""Ghost Sweeper""—a professional exorcist, whose duty is to exterminate any unwanted ghoul or poltergeist.

When it comes to Ghost Sweepers, Reiko Mikami is considered to be a cut above the rest. After receiving an offer to examine a haunting near Jinkotsu Hot Spring, she sets off to put her skills to work. Accompanied by her assistants, the underpaid and perverted high school student Tadao Yokoshima and the friendly teenage ghost Kinu Himuro, GS Mikami details the wacky exploits and adventures of these three as they go about investigating paranormal activities.

[Written by MAL Rewrite]"
animeRelated	['GS Mikami Gokuraku Daisakusen!!', 'GS Mikami: Gokuraku Daisakusen!!']
animeCharacters	['Mikami, Reiko', 'Yokoshima, Tadao', 'Himuro, Kinu', 'Maria', 'Namiko', 'Teresa', 'Ryugaki, Reika', 'Yakuchin', 'Karasu, Kazuhiro', 'Rokudo, Meiko']
animeVoices	['Tsuru, Hiromi', 'Horikawa, Ryo', 'Kouda, Mariko', 'Yamazaki, Wakana', 'Kawamura, Maria', 'Yamamoto, Yuriko', 'Chafurin', 'Sogabe, Kazuyuki', 'Nishihara, Kumiko']
animeStaff	[['Seki, Hiromi', 'Producer'], ['Umezawa, Atsutoshi', 'Director, Episode Director, Storyboard'], ['Shimizu, Junji', 'Episode Director'], ['Yamayoshi, Yasuo', 'Episode Director, Storyboard']]
