animeTitle	Mukashi no Yama
animeType	Movie
animeNumEpisode	1
releaseDate	2017-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17661
animeDescription	"Inspired by Katsuhiko Kamimura's Myths of India, a collection of short stories on Hindu mythology, Mukashi no Yama tells a poetic and humerus tale about mountains that could fly. When they fell to the ground, the earth shook with a great sound. 

(Source: Official Website)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
