animeTitle	b'Shujii no Inbou'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.41
animeUsers	577
animeRank	
animePopularity	
animeDescription	"b""My husband, Keiichiro, was struck down by illness. Mr. Noyama, our family doctor, said he would need to have a rest for a while. But he hasn't got well though a few weeks have passed. I have now a concern about myself. Yes, it's about sex.... It's impossible to ask for sex to my husband. I can't masturbate myself at home because there are my husband and daughter. I can't talk to anyone about it.... I recently feel sexually excited when Mr. Noyama comes to my house. Is this because I'm not sexually satisfied or I suffer from some kind of illness? Oh, Mr. Noyama comes again....\n\n(Source: Eroge Shop)"""
animeRelated	[]
animeCharacters	[b'Toudou, Kirara', b'Noyama, Tadamichi', b'Toudou, Ayahi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTsubone, Kentarou\n\nEditing\n\n', b'\nYoshi.Hoka\n\nMusic\n\n']
