animeTitle	Moom
animeType	Movie
animeNumEpisode	1
releaseDate	2016-03-05 00:00:00
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	103
animeRank	
animePopularity	13963
animeDescription	"Every forgotten object has a memory with its previous owner still attached. This is a story of Moom, one of those memories stuck in this world. One day, Moom meets another memory just like him.

(Source: AniDB)"
animeRelated	['Moom: Hajimari no Monogatari']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
