animeTitle	b'Violence Jack: Jigoku Gai-hen'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.56
animeUsers	4516
animeRank	
animePopularity	
animeDescription	"b""The World as we know it has been torn apart shattered by a series of natural disasters that have turned civilization into a brutish nightmare of survival and has left whole cities buried beneath the Earth. It's now a lethal and chaotic place, a place where only the strongest and most savage remain alive. The strongest of them all is a giant warrior known as Violence Jack\xe2\x80\xa6 \n\nViolence Jack tries to avert a civil war brewing among the wretched inhabitants of a subterranean metropolis called Evil Town. Based on a character created by manga horror specialist, Go Nagai. \n\n(Source: AniDB)"""
animeRelated	"[b'Violence Jack', b'Violence Jack: Jigoku Machihen', b'Violence Jack: Harlem Bomber-hen', b""Violence Jack: Hell's Wind-hen""]"
animeCharacters	[b'Violence Jack', b'Mad Saurus', b'Muto, Aira', b'Aids', b'Rikki', b'Tom Cat', b'Kawamori', b'Shibaki, Tahei', b'Sudo', b'Blue']
animeVoices	[b'\nKobayashi, Kiyoshi\nJapanese\n', b'\nAono, Takeshi\nJapanese\n', b'\nAndou, Arisa\nJapanese\n', b'\nYamaguchi, Ken\nJapanese\n', b'\nArakawa, Minako\nJapanese\n', b'\nHonda, Chieko\nJapanese\n', b'\nNakagi, Ryuuji\nJapanese\n', b'\nHirose, Masashi\nJapanese\n', b'\nChiba, Shigeru\nJapanese\n', b'\nHoriuchi, Kenyuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nItano, Ichirou\n\nDirector\n\n', b'\nHonda, Yasunori\n\nSound Director\n\n', b'\nAikawa, Shou\n\nScript\n\n', b'\nWolskel, John\n\nScript\n\n']
