animeTitle	Cyberpunk: Edgerunners
animeType	ONA
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	4040
animeDescription	"Cyberpunk: Edgerunners tells a standalone story about a street kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an edgerunner—a mercenary outlaw also known as a cyberpunk.

(Source: Official Site)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
