animeTitle	City Hunter Movie: Shinjuku Private Eyes
animeType	Movie
animeNumEpisode	1
releaseDate	2019-02-08 00:00:00
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	2579
animeRank	
animePopularity	5468
animeDescription	"Ryo Saeba is the top ""City Hunter"" around and he takes on cases with his partner Kaori. A model named Ai Shindo has been attacked and hires him to be her bodyguard. Shinji Mikuni, the president of an IT company that has hired Ai for its ad campaign, turns out to be an old friend of Kaori, and they become involved. Meanwhile, mercenaries are gathering in Shinjuku... and a major arms dealer arrives in Japan with a new weapon, but with Mikuni in the picture, Ryo and Kaori are growing apart...

(Source: Official Website)"
animeRelated	['City Hunter']
animeCharacters	['Saeba, Ryou', 'Makimura, Kaori', 'Nogami, Saeko', 'Ijuuin, Hayato', 'Kisugi, Hitomi', 'Kisugi, Rui', 'Kisugi, Ai', 'Shindou, Ai', 'Miki', 'Mikuni, Shinji']
animeVoices	['Kamiya, Akira', 'Ikura, Kazue', 'Ichiryuusai, Harumi', 'Genda, Tesshou', 'Toda, Keiko', 'Sakamoto, Chika', 'Iitoyo, Marie', 'Koyama, Mami', 'Yamadera, Kouichi']
animeStaff	[['Kodama, Kenji', 'Director'], ['Nagasaki, Yukio', 'Sound Director'], ['Kyougoku, Takahiko', 'Episode Director'], ['Satou, Teruo', 'Episode Director']]
