animeTitle	Hyper Positive Yogoremon
animeType	TV
animeNumEpisode	12
releaseDate	2021-04-18 00:00:00
endDate	2021-07-02 00:00:00
animeNumMembers	301
animeScore	
animeUsers	
animeRank	16251
animePopularity	14585
animeDescription	"The story centers on Otarou, a creature themed around dirt known as a yogoremon. It and other yogoremon ask the meaning of words and explain negative terms in positive ways.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
