animeTitle	Pandora to Akubi
animeType	Movie
animeNumEpisode	2
releaseDate	2019-04-05 00:00:00
endDate	
animeNumMembers	2854
animeScore	6.17
animeUsers	465
animeRank	7810
animePopularity	8516
animeDescription	"XFLAG and Tatsunoko Production collaboration.

The character Akubi originates from the 1969 Hakushon Daimaou anime, where the Akubi-chan character appears as the daughter of the titular genie character Hakushon. This October marks the 50th anniversary of the franchise. 

Meanwhile, Pandora is a ""girl of wishes"" from the Monster Strike smartphone game. 

XFLAG and Tatsunoko Production describe the anime as ""battle entertainment for girls."" 

Along for the experience is a whole bunch of characters from other Tatsunoko properties including Gatchaman, Yatterman, Mach GoGoGo, Oraa Guzura Dado, Ippatsu Kanta-kun, and more.

(Source: ANN and HRI)"
animeRelated	['Mach GoGoGo', 'Hakushon Daimaou', 'Gatchaman', 'Yatterman', 'Yobarete Tobidete Akubi-chan', 'Akubi Girl', 'Oraa Guzura Dado']
animeCharacters	['Akubi', 'Pandora']
animeVoices	[]
animeStaff	[['Tanaka, Ryou', 'Sound Director'], ['Satou, Yuuzou', 'Episode Director, Storyboard'], ['Shiggy Jr.', 'Theme Song Performance'], ['Obata, Takahiro', 'Music']]
