animeTitle	Bai Ye Ling Long
animeType	ONA
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	482
animeRank	
animePopularity	7960
animeDescription	"Ling Long just wants to make some friends, but she is not the best at socializing, not to mention that her online friend has stopped replying to her texts. However, in an unusual turn of events, she suddenly gains the ability to see monsters and ghosts. Her normal life takes on a strange twist...

(Source: MU)"
animeRelated	[]
animeCharacters	['Linglong']
animeVoices	[]
animeStaff	[]
