animeTitle	Itekoma Hits
animeType	Music
animeNumEpisode	1
releaseDate	2019-06-04 00:00:00
endDate	
animeNumMembers	179
animeScore	5.48
animeUsers	104
animeRank	10433
animePopularity	16405
animeDescription	Otoboke Beaver's new album ITEKOMA HITS features six new tracks, two re-recorded songs, and the contents from their Love Is Short and Bakuro Book EPs. To promote the album, an animated summary video was made by Naoyuki Asano.
animeRelated	['Ikezu']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
