animeTitle	Chiisana Teien
animeType	Movie
animeNumEpisode	1
releaseDate	2014-12-10 00:00:00
endDate	
animeNumMembers	423
animeScore	6.08
animeUsers	137
animeRank	8264
animePopularity	13419
animeDescription	Story of a life form which wakes up in an unknown mysterious world. As he go deeper, he slowly understands what kind of place it is. The world seems beautiful, but it lacks what the real life has. He has to make a choice to stay or not.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
